1.8 517221
3.6 2174
5.4 2115
7.2 1908
9 1653
10.8 1500
12.6 1353
14.4 1264
16.2 1053
18 1036
19.8 928
21.6 806
23.4 745
25.2 668
27 663
28.8 663
30.6 589
32.4 529
34.2 508
36 480
37.8 457
39.6 410
41.4 416
43.2 374
45 368
46.8 323
48.6 344
50.4 311
52.2 279
54 279
55.8 272
57.6 274
59.4 229
61.2 217
63 238
64.8 209
66.6 181
68.4 208
70.2 188
72 191
73.8 187
75.6 180
77.4 169
79.2 143
81 174
82.8 120
84.6 134
86.4 127
88.2 137
90 114
91.8 120
93.6 123
95.4 132
97.2 112
99 114
100.8 91
102.6 94
104.4 100
106.2 91
108 93
109.8 88
111.6 98
113.4 97
115.2 87
117 84
118.8 74
120.6 61
122.4 73
124.2 60
126 66
127.8 76
129.6 69
131.4 68
133.2 74
135 57
136.8 64
138.6 69
140.4 54
142.2 54
144 56
145.8 48
147.6 69
149.4 52
151.2 57
153 49
154.8 60
156.6 54
158.4 36
160.2 36
162 39
163.8 45
165.6 52
167.4 38
169.2 44
171 34
172.8 37
174.6 31
176.4 40
178.2 47
180 44
181.8 37
183.6 37
185.4 28
187.2 36
189 26
190.8 31
192.6 29
194.4 37
196.2 45
198 27
199.8 37
201.6 30
203.4 31
205.2 31
207 31
208.8 26
210.6 19
212.4 29
214.2 22
216 20
217.8 20
219.6 25
221.4 21
223.2 25
225 16
226.8 21
228.6 16
230.4 18
232.2 21
234 21
235.8 18
237.6 22
239.4 22
241.2 25
243 18
244.8 27
246.6 19
248.4 17
250.2 13
252 24
253.8 16
255.6 13
257.4 17
259.2 14
261 24
262.8 26
264.6 14
266.4 11
268.2 19
270 22
271.8 25
273.6 13
275.4 12
277.2 16
279 15
280.8 15
282.6 17
284.4 16
286.2 21
288 17
289.8 13
291.6 11
293.4 14
295.2 19
297 18
298.8 14
300.6 12
302.4 10
304.2 8
306 12
307.8 9
309.6 16
311.4 11
313.2 15
315 16
316.8 9
318.6 11
320.4 9
322.2 12
324 10
325.8 13
327.6 15
329.4 10
331.2 7
333 16
334.8 9
336.6 13
338.4 8
340.2 13
342 7
343.8 6
345.6 9
347.4 9
349.2 10
351 9
352.8 10
354.6 9
356.4 5
358.2 7
360 4
361.8 11
363.6 5
365.4 8
367.2 8
369 7
370.8 11
372.6 5
374.4 8
376.2 11
378 16
379.8 7
381.6 6
383.4 2
385.2 6
387 5
388.8 6
390.6 10
392.4 5
394.2 6
396 5
397.8 5
399.6 7
401.4 7
403.2 6
405 7
406.8 7
408.6 9
410.4 7
412.2 3
414 5
415.8 5
417.6 6
419.4 9
421.2 5
423 6
424.8 4
426.6 6
428.4 9
430.2 3
432 5
433.8 3
435.6 2
437.4 3
439.2 4
441 3
442.8 6
444.6 6
446.4 6
448.2 3
450 5
451.8 3
453.6 0
455.4 6
457.2 4
459 3
460.8 3
462.6 6
464.4 1
466.2 7
468 7
469.8 3
471.6 2
473.4 3
475.2 6
477 2
478.8 4
480.6 2
482.4 4
484.2 1
486 3
487.8 2
489.6 5
491.4 2
493.2 5
495 4
496.8 1
498.6 3
500.4 3
502.2 3
504 5
505.8 2
507.6 4
509.4 6
511.2 2
513 3
514.8 2
516.6 1
518.4 2
520.2 2
522 6
523.8 1
525.6 2
527.4 2
529.2 4
531 5
532.8 6
534.6 2
536.4 5
538.2 2
540 6
541.8 2
543.6 4
545.4 2
547.2 2
549 3
550.8 1
552.6 1
554.4 1
556.2 2
558 1
559.8 3
561.6 1
563.4 1
565.2 1
567 1
568.8 0
570.6 2
572.4 2
574.2 2
576 1
577.8 3
579.6 1
581.4 1
583.2 2
585 0
586.8 0
588.6 1
590.4 1
592.2 3
594 1
595.8 0
597.6 2
599.4 3
601.2 4
603 2
604.8 4
606.6 1
608.4 1
610.2 2
612 1
613.8 1
615.6 3
617.4 2
619.2 2
621 2
622.8 5
624.6 2
626.4 0
628.2 0
630 1
631.8 2
633.6 3
635.4 2
637.2 2
639 0
640.8 1
642.6 1
644.4 3
646.2 1
648 1
649.8 5
651.6 4
653.4 1
655.2 0
657 2
658.8 1
660.6 4
662.4 3
664.2 2
666 0
667.8 2
669.6 3
671.4 1
673.2 2
675 2
676.8 1
678.6 5
680.4 0
682.2 3
684 5
685.8 3
687.6 3
689.4 1
691.2 0
693 0
694.8 3
696.6 2
698.4 1
700.2 2
702 3
703.8 2
705.6 1
707.4 0
709.2 0
711 1
712.8 2
714.6 1
716.4 1
718.2 0
720 1
721.8 2
723.6 2
725.4 0
727.2 0
729 1
730.8 1
732.6 5
734.4 0
736.2 1
738 0
739.8 0
741.6 1
743.4 1
745.2 2
747 1
748.8 0
750.6 1
752.4 2
754.2 0
756 0
757.8 0
759.6 0
761.4 0
763.2 2
765 0
766.8 1
768.6 3
770.4 0
772.2 4
774 0
775.8 2
777.6 0
779.4 0
781.2 0
783 0
784.8 2
786.6 1
788.4 1
790.2 0
792 2
793.8 0
795.6 0
797.4 0
799.2 2
801 0
802.8 0
804.6 1
806.4 0
808.2 0
810 1
811.8 0
813.6 0
815.4 1
817.2 2
819 0
820.8 0
822.6 3
824.4 4
826.2 1
828 0
829.8 1
831.6 0
833.4 1
835.2 1
837 3
838.8 0
840.6 1
842.4 1
844.2 0
846 1
847.8 1
849.6 0
851.4 1
853.2 1
855 2
856.8 1
858.6 1
860.4 0
862.2 0
864 0
865.8 0
867.6 0
869.4 0
871.2 1
873 1
874.8 0
876.6 1
878.4 0
880.2 1
882 0
883.8 0
885.6 2
887.4 1
889.2 1
891 1
892.8 0
894.6 1
896.4 2
