1.8 2.63826e+06
3.6 22678
5.4 14382
7.2 9759
9 6419
10.8 4299
12.6 2804
14.4 1878
16.2 1424
18 926
19.8 676
21.6 484
23.4 382
25.2 282
27 268
28.8 208
30.6 226
32.4 180
34.2 167
36 183
37.8 162
39.6 133
41.4 134
43.2 139
45 126
46.8 138
48.6 121
50.4 133
52.2 113
54 110
55.8 113
57.6 96
59.4 99
61.2 86
63 90
64.8 97
66.6 91
68.4 94
70.2 98
72 95
73.8 88
75.6 86
77.4 90
79.2 74
81 92
82.8 81
84.6 76
86.4 89
88.2 76
90 76
91.8 78
93.6 96
95.4 71
97.2 70
99 69
100.8 71
102.6 55
104.4 79
106.2 59
108 52
109.8 60
111.6 66
113.4 59
115.2 61
117 51
118.8 54
120.6 59
122.4 64
124.2 51
126 52
127.8 64
129.6 51
131.4 64
133.2 53
135 56
136.8 52
138.6 46
140.4 45
142.2 51
144 44
145.8 48
147.6 56
149.4 54
151.2 48
153 40
154.8 47
156.6 32
158.4 47
160.2 37
162 34
163.8 40
165.6 37
167.4 36
169.2 35
171 33
172.8 43
174.6 24
176.4 29
178.2 28
180 32
181.8 29
183.6 36
185.4 24
187.2 31
189 29
190.8 40
192.6 29
194.4 31
196.2 32
198 25
199.8 22
201.6 28
203.4 34
205.2 20
207 30
208.8 24
210.6 27
212.4 28
214.2 28
216 22
217.8 34
219.6 23
221.4 18
223.2 21
225 29
226.8 26
228.6 20
230.4 28
232.2 28
234 20
235.8 23
237.6 23
239.4 17
241.2 15
243 22
244.8 20
246.6 26
248.4 20
250.2 15
252 22
253.8 8
255.6 23
257.4 20
259.2 21
261 18
262.8 19
264.6 19
266.4 9
268.2 23
270 18
271.8 25
273.6 17
275.4 18
277.2 26
279 16
280.8 12
282.6 11
284.4 16
286.2 24
288 23
289.8 10
291.6 12
293.4 14
295.2 19
297 12
298.8 15
300.6 12
302.4 16
304.2 19
306 16
307.8 9
309.6 20
311.4 13
313.2 7
315 14
316.8 10
318.6 13
320.4 11
322.2 13
324 13
325.8 13
327.6 9
329.4 11
331.2 12
333 8
334.8 21
336.6 16
338.4 9
340.2 10
342 11
343.8 9
345.6 11
347.4 9
349.2 7
351 8
352.8 12
354.6 8
356.4 6
358.2 12
360 10
361.8 11
363.6 9
365.4 11
367.2 16
369 12
370.8 15
372.6 14
374.4 13
376.2 10
378 7
379.8 10
381.6 16
383.4 14
385.2 5
387 10
388.8 9
390.6 11
392.4 17
394.2 14
396 11
397.8 13
399.6 14
401.4 6
403.2 10
405 9
406.8 9
408.6 7
410.4 2
412.2 4
414 13
415.8 12
417.6 6
419.4 6
421.2 9
423 10
424.8 7
426.6 4
428.4 9
430.2 7
432 9
433.8 11
435.6 9
437.4 6
439.2 4
441 9
442.8 5
444.6 6
446.4 8
448.2 11
450 7
451.8 5
453.6 6
455.4 5
457.2 7
459 5
460.8 4
462.6 8
464.4 3
466.2 6
468 9
469.8 5
471.6 5
473.4 6
475.2 7
477 5
478.8 5
480.6 4
482.4 4
484.2 8
486 5
487.8 10
489.6 10
491.4 3
493.2 10
495 7
496.8 1
498.6 7
500.4 7
502.2 2
504 9
505.8 2
507.6 9
509.4 3
511.2 11
513 9
514.8 9
516.6 9
518.4 8
520.2 9
522 6
523.8 6
525.6 5
527.4 6
529.2 6
531 2
532.8 6
534.6 8
536.4 11
538.2 4
540 3
541.8 6
543.6 0
545.4 2
547.2 3
549 5
550.8 6
552.6 1
554.4 7
556.2 6
558 3
559.8 4
561.6 4
563.4 4
565.2 5
567 2
568.8 3
570.6 2
572.4 3
574.2 6
576 3
577.8 2
579.6 6
581.4 3
583.2 0
585 3
586.8 6
588.6 5
590.4 2
592.2 5
594 2
595.8 5
597.6 0
599.4 3
601.2 4
603 4
604.8 4
606.6 3
608.4 4
610.2 3
612 2
613.8 1
615.6 5
617.4 3
619.2 5
621 5
622.8 3
624.6 2
626.4 1
