880.2 3
882 5
883.8 4
885.6 8
887.4 4
889.2 5
891 4
892.8 7
894.6 4
896.4 9
898.2 5
900 9
901.8 7
903.6 5
905.4 6
907.2 6
909 8
910.8 3
912.6 8
914.4 4
916.2 4
918 3
919.8 3
921.6 1
923.4 1
925.2 7
927 7
928.8 7
930.6 5
932.4 7
934.2 3
936 6
937.8 2
939.6 2
941.4 5
943.2 7
945 3
946.8 2
948.6 4
950.4 2
952.2 6
954 3
955.8 4
957.6 4
959.4 6
961.2 5
963 5
964.8 3
966.6 4
968.4 4
970.2 2
972 5
973.8 3
975.6 2
977.4 5
979.2 3
981 3
982.8 2
984.6 1
986.4 2
988.2 1
990 4
991.8 5
993.6 1
995.4 2
997.2 6
999 2
1000.8 7
1002.6 7
1004.4 2
1006.2 6
1008 3
1009.8 4
1011.6 6
1013.4 2
1015.2 0
1017 2
1018.8 4
1020.6 1
1022.4 4
1024.2 2
1026 3
1027.8 4
1029.6 0
1031.4 2
1033.2 3
1035 1
1036.8 1
1038.6 4
1040.4 1
1042.2 2
1044 0
1045.8 2
1047.6 3
1049.4 3
1051.2 1
1053 3
1054.8 1
1056.6 5
1058.4 4
1060.2 4
1062 6
1063.8 2
1065.6 1
1067.4 4
1069.2 4
1071 2
1072.8 4
1074.6 1
1076.4 5
1078.2 6
1080 2
1081.8 2
1083.6 0
1085.4 1
1087.2 6
1089 4
1090.8 4
1092.6 5
1094.4 4
1096.2 3
1098 1
1099.8 3
1101.6 2
1103.4 6
1105.2 4
1107 1
1108.8 3
1110.6 3
1112.4 1
1114.2 3
1116 1
1117.8 2
1119.6 1
1121.4 1
1123.2 0
1125 2
1126.8 2
1128.6 2
1130.4 2
1132.2 2
1134 2
1135.8 2
1137.6 4
1139.4 6
1141.2 2
1143 0
1144.8 0
1146.6 3
1148.4 1
1150.2 4
1152 2
1153.8 2
1155.6 2
1157.4 6
1159.2 0
1161 2
1162.8 2
1164.6 3
1166.4 3
1168.2 5
1170 2
1171.8 2
1173.6 5
1175.4 1
1177.2 2
1179 1
1180.8 1
1182.6 3
1184.4 0
1186.2 1
1188 2
1189.8 1
1191.6 0
1193.4 0
1195.2 2
1197 4
1198.8 4
1200.6 1
1202.4 3
1204.2 0
1206 2
1207.8 5
1209.6 0
1211.4 0
1213.2 2
1215 3
1216.8 0
1218.6 1
1220.4 2
1222.2 3
1224 4
1225.8 0
1227.6 1
1229.4 0
1231.2 2
1233 0
1234.8 1
1236.6 2
1238.4 2
1240.2 3
1242 1
1243.8 1
1245.6 3
1247.4 2
1249.2 3
1251 5
1252.8 4
1254.6 2
1256.4 1
1258.2 2
1260 0
1261.8 0
1263.6 1
1265.4 2
1267.2 1
1269 3
1270.8 2
1272.6 2
1274.4 2
1276.2 3
1278 0
1279.8 3
1281.6 2
1283.4 3
1285.2 0
1287 0
1288.8 1
1290.6 3
1292.4 5
1294.2 3
1296 2
1297.8 3
1299.6 1
1301.4 0
1303.2 2
1305 1
1306.8 2
1308.6 2
1310.4 2
1312.2 1
1314 3
1315.8 1
1317.6 0
1319.4 0
1321.2 2
1323 2
1324.8 1
