#Site, pe_all, pe_muons, pe_electrons, pe_gammas, pe_neutrons, pe_hadrons, altitude(m a.s.l)
chacaltaya 2780000 337200 418600 1919000 76900 27500 5240
quito 858800 215400 112700 507600 17920 5193 2800
guatemala 529100 178200 64640 276300 7915 2105 1490
bucaramanga 411800 158300 47400 200300 4601 1191 956
marambio 333700 156700 33940 139100 3238 686 200
lima 312600 140800 33170 135700 2392 566 150
laserena 307600 139100 32540 133300 2231 538 28
buenosaires 310100 141200 33100 133000 2335 505 10
