CHA 1.2414 5.69101 0.228055 0.081554 5240
UIO 0.523211 2.35654 0.0831937 0.0241086 2800
GUA 0.362739 1.55051 0.0444164 0.0118125 1490
BGA 0.29943 1.26532 0.0290649 0.00752366 956
#SAWB 0.216594 0.887687 0.0206637 0.00437781 200
LIM 0.235582 0.963778 0.0169886 0.00401988 150
#LSC 0.233932 0.958304 0.0160388 0.00386772 28
#EZE 0.234419 0.941926 0.0165368 0.00357649 10
